วิชา,Question,Link 1,คำอธิบาย,วันเวลาหมดเขต,สถานะแก้ไขเองได้,คอลัมน์ 1
พลเมืองที่ดี,ข้อสอบย่อย หน่วยที่ 1,https://qs.doralaikon.site/allquestions/course/พลเมืองที่ดี/question01,ทำข้อสอบได้ตั้งแต่วันที่ 2-8 ธันวาคม 2567 ก่อนเวลา 23.00 น.เท่านั้น),"3/4/2025, 0:00:00",,
พลเมืองที่ดี,ข้อสอบหน่วยที่ 2 (40 ข้อ 20 คะแนน),https://qs.doralaikon.site/allquestions/course/พลเมืองที่ดี/ข้อสอบหน่วยที่ 2,"ข้อสอบมีจำนวน 40 ข้อ 20 คะเเนน

นักศึกษามีเวลาทำข้อสอบ 2 ชั่วโมง

ทำข้อสอบได้ 1 ครั้ง

ทำเสร็จเเล้วอย่าลืม !!! กด Save เเละส่งเพื่อยืนยัน","26/12/2024, 23:59:00",อัพเดตล่าสุด,
พลเมืองที่ดี,ข้อสอบหน่วยที่ 3 (40 ข้อ 15 คะแนน),https://qs.doralaikon.site/allquestions/course/พลเมืองที่ดี/ข้อสอบหน่วยที่ 3,,"24/1/2025, 23:59:00",,
พลเมืองที่ดี,ข้อสอบหน่วยที่ 4 (40 ข้อ 20 คะแนน),https://qs.doralaikon.site/allquestions/course/พลเมืองที่ดี/ข้อสอบหน่วยที่ 4,"ข้อสอบมีจำนวน 40 ข้อ 20 คะเเนน

นักศึกษามีเวลาทำข้อสอบ 1 ชั่วโมง

ทำข้อสอบได้ 1 ครั้ง

ทำเสร็จเเล้วอย่าลืม !!! กด Save เเละส่งเพื่อยืนยัน","14/2/2025, 23:59:00",,
พลเมืองที่ดี,ข้อสอบหน่วยที่ 5 (20 ข้อ 10 คะแนน),https://qs.doralaikon.site/allquestions/course/พลเมืองที่ดี/ข้อสอบหน่วยที่5,,"7/3/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit 1) Part 1: Grammar,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 1) Part 1_Grammar,,"27/12/2024, 23:59:00",,
EVERYDAY ENGLISH,"(Unit 1) Part 2: Vocabulary
",https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 1) Part 2_ Vocabulary,,"27/12/2024, 23:59:00",,
EVERYDAY ENGLISH,(Unit 1) Part 3: Expressions,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 1) Part 3_Expressions,,"27/12/2024, 23:59:00",,
EVERYDAY ENGLISH,(Unit 1) Part 4: Writing,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 1) Part 4_Writing,,"27/12/2024, 23:59:00",,
EVERYDAY ENGLISH,(Unit 1) Part 5: Listening,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 1) Part 5_Listening,,"28/12/2024, 23:00:00",,
